,0,1,2,3
e7050730,0.0,1.0,1.0,1.0
e7135956,1.0,1.0,1.0,1.0
e7108044,0.0,1.0,1.0,1.0
e7114712,1.0,0.0,0.0,0.0
e6541598,0.0,1.0,0.0,0.0
e7120866,0.0,1.0,1.0,1.0
e7129756,1.0,1.0,1.0,1.0
e6385936,0.0,0.0,1.0,0.0
e6995982,0.0,1.0,0.0,0.0
e7107636,0.0,1.0,1.0,0.0
e6275266,1.0,0.0,0.0,0.0
e6378144,0.0,0.0,0.0,1.0
e6101202,1.0,0.0,0.0,1.0
e6484876,0.0,0.0,0.0,1.0
e6945062,0.0,1.0,0.0,0.0
